,fromlong,fromlat,tolong,tolat
1072,40.7741,-73.87301,40.7741,-73.87301
1073,40.75106,-73.99411,40.75116,-73.99411
1074,40.74977,-73.99121,40.74996,-73.9916
1075,40.7498,-73.99163,40.74982,-73.99143
1076,40.73955,-74.00257,40.73955,-74.00257
1077,40.75228,-73.97814,40.75228,-73.97795
1078,40.77412,-73.87319,40.77413,-73.87316
1079,40.75003,-73.99137,40.75032,-73.99143
1080,40.75,-73.99153,40.75019,-73.9914
1081,40.77402,-73.87307,40.77402,-73.8729
1082,40.7191,-74.00508,40.7191,-74.00508
1083,40.77391,-73.87294,40.77405,-73.87304
1084,40.77415,-73.8731,40.7742,-73.873
1085,40.7507,-73.99449,40.7509,-73.99423
